logFC	AveExpr	t	P.Value	adj.P.Val	B
FOXN3	-0.991059693430037	9.61916388873855	-16.7769566270842	7.49232265334922e-12	1.56844282425213e-07	16.0922621022319
CPLX1	-0.911656402715289	7.37838235669352	-14.4056196654756	8.08675526125986e-11	8.4644067319607e-07	14.2452394054249
ZNF385B	-1.06435835900809	9.47822339182989	-12.7963700496397	4.96650535913847e-10	2.29811336194393e-06	12.749407693872
APTX	-1.03157576134871	10.0773512303033	-12.7580539165847	5.19769286389107e-10	2.29811336194393e-06	12.7110409735481
PTPN1	-0.818621365503404	10.101412127474	-12.7122633612397	5.48894946485127e-10	2.29811336194393e-06	12.6650116742828
MRPL16	-1.02407891982058	10.5394431226224	-11.96309584686	1.37138520371162e-09	4.24487035326515e-06	11.8835172908102
SCML2	-1.00749584407603	8.12217958420667	-11.8476314444099	1.58574042186289e-09	4.24487035326515e-06	11.7581465922501
C12orf76	1.18128108190146	9.28797132976414	11.8296437847979	1.62219178494895e-09	4.24487035326515e-06	11.7384934692963
PIK3R2	-0.818524460886616	11.5905264199414	-11.5704520470403	2.25772374730103e-09	5.2514654362222e-06	11.4515937140925
HPS3	-0.8259915650802	8.54475478777967	-11.2159672219557	3.5826078604375e-09	7.49983129503985e-06	11.0477224726289
PRMT6	-0.785550776381532	10.8927387028499	-11.1157671159002	4.09053628283714e-09	7.69889111272024e-06	10.9310937537974
LANCL1	-0.832635758969934	10.0173778554521	-11.0586961382432	4.4132365220523e-09	7.69889111272024e-06	10.8641702224322
RAB11FIP1	0.609172332466848	10.5428169830851	10.2647789687726	1.31098215324162e-08	2.11108464584309e-05	9.89463276384753
NCLN	-0.782716107469962	10.3315024636516	-10.1962214398125	1.44445992027685e-08	2.15988028364825e-05	9.80742519509713
C2orf15	0.731584626554499	7.73288725150221	10.1282794728879	1.59090249164799e-08	2.22026351734394e-05	9.72043646679797
MYPOP	-0.667569963454836	9.46790944266169	-9.71322179271726	2.90014943714334e-08	3.79448301982242e-05	9.17659812616882
TMEM189	-0.659856676687761	9.55549759115039	-9.58819677095559	3.48777880271738e-08	4.29489185035797e-05	9.00851175885705
NARF	0.732232707812429	9.2618749984569	9.475960482934	4.1220930091729e-08	4.79399416966808e-05	8.85589913077656
STRADB	-0.78366597211649	9.44762466441247	-9.38859297327623	4.69925427643936e-08	5.1775888959464e-05	8.73596382459592
CCDC189	0.773484556462421	8.59992086502739	9.2741059627951	5.58690011437108e-08	5.27047707422487e-05	8.57727700461769
CLDN12	-0.696477210329904	9.81218164499674	-9.23822011796639	5.90006995336127e-08	5.27047707422487e-05	8.5271785877665
KCNMA1	-0.995780285354579	8.64107153682028	-9.21847090528916	6.0802267705446e-08	5.27047707422487e-05	8.49953439829182
C17orf97	1.31401222831535	9.85953145604386	9.21545490733427	6.10824347019279e-08	5.27047707422487e-05	8.49530813092873
MRGBP	0.548145286450335	10.6158768838728	9.2006194049674	6.24804133451056e-08	5.27047707422487e-05	8.47450166835837
ESRRA	-0.935122900668022	9.65442941782999	-9.19580162626921	6.2941591122395e-08	5.27047707422487e-05	8.4677385004185
CTDSP2	-0.828411416847761	10.0969499465175	-9.10229619445139	7.2636460069301e-08	5.8483525195798e-05	8.33585842543992
PGAM1	-0.857921109447654	12.8733661916155	-9.03265191207853	8.0868726354975e-08	6.10674189581665e-05	8.23686485078902
TMEM237	-0.82439839490057	9.9856880915762	-9.02619570824526	8.16799336404252e-08	6.10674189581665e-05	8.22765454864735
JOSD1	-0.600250264906675	9.13927964357438	-8.82646620112312	1.11498158081932e-07	7.66809154767848e-05	7.9399068871983
NET1	-0.696849235579105	10.4517296865425	-8.82487528454646	1.11777003810075e-07	7.66809154767848e-05	7.9375928340347
PIGH	-0.650085079992783	8.97544341360956	-8.81484191937856	1.13552516469873e-07	7.66809154767848e-05	7.92299082056554
PPP1R12B	-0.712479775769284	7.25785008250468	-8.63402910764377	1.51160370833539e-07	9.81463849985136e-05	7.65744421197903
RAVER2	-0.517975419662778	8.20954840303233	-8.61944178753336	1.54716284749735e-07	9.81463849985136e-05	7.63582140467839
RPL36AL	-0.66775763705053	13.8175774891861	-8.48740263570595	1.9118473248368e-07	0.000117713564406275	7.43873292723826
MOK	0.832475709244283	9.71899738897081	8.42537890354059	2.11325135725035e-07	0.000124504657183009	7.3452988909877
APEX1	-0.473158014978768	12.4271921949583	-8.41729474500294	2.14109470650059e-07	0.000124504657183009	7.33308029433266
SSR1	-0.641632928869154	11.1772643653671	-8.38233152472111	2.26601236058022e-07	0.00012820730474699	7.28012838767459
CLBA1	0.839217212307314	9.28507358104063	8.25149315361012	2.80546894761172e-07	0.000154551807761326	7.08041540843169
TMEM248	0.546572496543744	9.55208144880851	8.12883526988737	3.43398529261113e-07	0.000184325764398773	6.89094124200374
ATP6V1E1	-0.598387635601998	11.9018723674639	-8.08432821837351	3.69708375171064e-07	0.000191233639597515	6.82164805963984
FOXN2	-0.669116932005215	8.81279647118891	-8.07651908822853	3.74538034943065e-07	0.000191233639597515	6.80946015125683
KLF9	0.624964301458101	10.605808986799	8.04731420131642	3.93193202732167e-07	0.000195978726333219	6.763800232104
KCTD10	-0.641440073106307	8.32022726580858	-8.03132558357527	4.0381556407421e-07	0.000196592442286733	6.73875014297616
LINC00294	-0.661965204600468	8.09125903683276	-7.99396296917445	4.29825368901714e-07	0.000204499188013374	6.6800661677831
